,Total de Egresados,Nivel de la Oferta,Carrera,Reinscriptos Mujeres,Nuevos Inscriptos Varones,Estudiantes Mujeres,Total de Estudiantes,Gestión,Total de Nuevos Inscriptos,Tipo de Institución,Estudiantes Varones,Egresados Varones,Unidad Académica,Egresados Mujeres,Total de Reinscriptos,Año,Institución,Nuevas Inscriptas Mujeres,Título,Reinscriptos Varones
,13,Grado               ,"Computación, Sistemas e Informática",90,123,128,625,Estatal                                           ,161,Universidad                                       ,497,12,"Facultad de Matemáticas, Astronomía y Física",1,464,2010,Universidad Nacional de Córdoba,38,Licenciatura en Ciencias de la Computación,374
,20,Grado               ,"Computación, Sistemas e Informática",33,55,38,298,Estatal                                           ,60,Universidad                                       ,260,20,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",,238,2010,Universidad Nacional de Rosario,5,Licenciatura en Ciencias de la Computación,205
,11,Grado               ,"Computación, Sistemas e Informática",32,51,43,259,Estatal                                           ,62,Universidad                                       ,216,9,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",2,197,2010,Universidad Nacional de Río Cuarto,11,Licenciatura en Ciencias de la Computación,165
,,Grado               ,"Computación, Sistemas e Informática",52,92,67,340,Estatal                                           ,107,Universidad                                       ,273,,"Facultad de Ciencias Exactas, Físicas y Naturales",,233,2010,Universidad Nacional de San Juan,15,Licenciatura en Ciencias de la Computación,181
,5,Grado               ,"Computación, Sistemas e Informática",75,82,92,353,Estatal                                           ,99,Universidad                                       ,261,2,Facultad de Cs. Físico-Matemáticas y Naturales,3,254,2010,Universidad Nacional de San Luis,17,Licenciatura en Ciencias de la Computación,179
,6,Grado               ,"Computación, Sistemas e Informática",58,64,71,298,Estatal                                           ,77,Universidad                                       ,227,3,Facultad de Economía y Administración,3,221,2010,Universidad Nacional del Comahue,13,Licenciatura en Ciencias de la Computación,163
,13,Grado               ,"Computación, Sistemas e Informática",90,54,101,411,Estatal                                           ,65,Universidad                                       ,310,11,Departamento de Ciencias de la Computación,2,346,2010,Universidad Nacional del Sur,11,Licenciatura en Ciencias de la Computación,256
,37,Grado               ,"Computación, Sistemas e Informática",,,,"1,803",Estatal                                           ,431,Universidad                                       ,,,Facultad de Ciencias Exactas y Naturales,,"1,372",2010,Universidad de Buenos Aires,,Licenciatura en Ciencias de la Computación,
,2,Grado               ,"Computación, Sistemas e Informática",,,,21,Privada                                           ,,Universidad                                       ,21,2,Departamento de Sistemas,,21,2011,Universidad CAECE,,Licenciatura en Ciencias de la Computación,21
,11,Grado               ,"Computación, Sistemas e Informática",83,160,123,663,Estatal                                           ,200,Universidad                                       ,540,10,"Facultad de Matemáticas, Astronomía y Física",1,463,2011,Universidad Nacional de Córdoba,40,Licenciatura en Ciencias de la Computación,380
,21,Grado               ,"Computación, Sistemas e Informática",26,55,35,292,Estatal                                           ,64,Universidad                                       ,257,20,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,228,2011,Universidad Nacional de Rosario,9,Licenciatura en Ciencias de la Computación,202
,11,Grado               ,"Computación, Sistemas e Informática",33,56,36,248,Estatal                                           ,59,Universidad                                       ,212,9,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",2,189,2011,Universidad Nacional de Río Cuarto,3,Licenciatura en Ciencias de la Computación,156
,1,Grado               ,"Computación, Sistemas e Informática",51,108,76,378,Estatal                                           ,133,Universidad                                       ,302,,"Facultad de Ciencias Exactas, Físicas y Naturales",1,245,2011,Universidad Nacional de San Juan,25,Licenciatura en Ciencias de la Computación,194
,6,Grado               ,"Computación, Sistemas e Informática",66,54,72,297,Estatal                                           ,60,Universidad                                       ,225,3,Facultad de Cs. Físico-Matemáticas y Naturales,3,237,2011,Universidad Nacional de San Luis,6,Licenciatura en Ciencias de la Computación,171
,3,Grado               ,"Computación, Sistemas e Informática",58,92,81,361,Estatal                                           ,115,Universidad                                       ,280,,Facultad de Informática,3,246,2011,Universidad Nacional del Comahue,23,Licenciatura en Ciencias de la Computación,188
,35,Grado               ,"Computación, Sistemas e Informática",72,77,85,401,Estatal                                           ,90,Universidad                                       ,316,23,Departamento de Ciencias de la Computación,12,311,2011,Universidad Nacional del Sur,13,Licenciatura en Ciencias de la Computación,239
,26,Grado               ,"Computación, Sistemas e Informática",316,345,371,"2,350",Estatal                                           ,400,Universidad                                       ,"1,979",25,Facultad de Ciencias Exactas y Naturales,1,"1,950",2011,Universidad de Buenos Aires,55,Licenciatura en Ciencias de la Computación,"1,634"
,2,Grado               ,"Computación, Sistemas e Informática",,,,15,Privada                                           ,,Universidad                                       ,15,2,Departamento de Sistemas,,15,2012,Universidad CAECE,,Licenciatura en Ciencias de la Computación,15
,13,Grado               ,"Computación, Sistemas e Informática",94,157,132,706,Estatal                                           ,195,Universidad                                       ,574,13,"Facultad de Matemáticas, Astronomía y Física",,511,2012,Universidad Nacional de Córdoba,38,Licenciatura en Ciencias de la Computación,417
,17,Grado               ,"Computación, Sistemas e Informática",35,76,45,302,Estatal                                           ,86,Universidad                                       ,257,14,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",3,216,2012,Universidad Nacional de Rosario,10,Licenciatura en Ciencias de la Computación,181
,2,Grado               ,"Computación, Sistemas e Informática",30,58,39,248,Estatal                                           ,67,Universidad                                       ,209,2,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",,181,2012,Universidad Nacional de Río Cuarto,9,Licenciatura en Ciencias de la Computación,151
,,Grado               ,"Computación, Sistemas e Informática",71,88,82,486,Estatal                                           ,99,Universidad                                       ,404,,"Facultad de Ciencias Exactas, Físicas y Naturales",,387,2012,Universidad Nacional de San Juan,11,Licenciatura en Ciencias de la Computación,316
,11,Grado               ,"Computación, Sistemas e Informática",57,16,66,225,Estatal                                           ,25,Universidad                                       ,159,5,Facultad de Cs. Físico-Matemáticas y Naturales,6,200,2012,Universidad Nacional de San Luis,9,Licenciatura en Ciencias de la Computación,143
,12,Grado               ,"Computación, Sistemas e Informática",61,92,84,383,Estatal                                           ,115,Universidad                                       ,299,11,Facultad de Informática,1,268,2012,Universidad Nacional del Comahue,23,Licenciatura en Ciencias de la Computación,207
,23,Grado               ,"Computación, Sistemas e Informática",66,50,81,353,Estatal                                           ,65,Universidad                                       ,272,11,Departamento de Ciencias de la Computación,12,288,2012,Universidad Nacional del Sur,15,Licenciatura en Ciencias de la Computación,222
,36,Grado               ,"Computación, Sistemas e Informática",307,326,353,"2,286",Estatal                                           ,372,Universidad                                       ,"1,933",34,Facultad de Ciencias Exactas y Naturales,2,"1,914",2012,Universidad de Buenos Aires,46,Licenciatura en Ciencias de la Computación,"1,607"
,3,Grado               ,"Computación, Sistemas e Informática",,,,12,Privada                                           ,,Universidad                                       ,12,3,Departamento de Sistemas,,12,2013,Universidad CAECE,,Licenciatura en Ciencias de la Computación,12
,30,Grado               ,"Computación, Sistemas e Informática",93,150,121,695,Estatal                                           ,178,Universidad                                       ,574,29,"Facultad de Matemáticas, Astronomía y Física",1,517,2013,Universidad Nacional de Córdoba,28,Licenciatura en Ciencias de la Computación,424
,6,Grado               ,"Computación, Sistemas e Informática",32,54,42,315,Estatal                                           ,64,Universidad                                       ,273,5,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,251,2013,Universidad Nacional de Rosario,10,Licenciatura en Ciencias de la Computación,219
,13,Grado               ,"Computación, Sistemas e Informática",32,34,38,239,Estatal                                           ,40,Universidad                                       ,201,13,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",,199,2013,Universidad Nacional de Río Cuarto,6,Licenciatura en Ciencias de la Computación,167
,1,Grado               ,"Computación, Sistemas e Informática",56,86,72,456,Estatal                                           ,102,Universidad                                       ,384,1,"Facultad de Ciencias Exactas, Físicas y Naturales",,354,2013,Universidad Nacional de San Juan,16,Licenciatura en Ciencias de la Computación,298
,12,Grado               ,"Computación, Sistemas e Informática",45,31,53,220,Estatal                                           ,39,Universidad                                       ,167,9,Facultad de Cs. Físico-Matemáticas y Naturales,3,181,2013,Universidad Nacional de San Luis,8,Licenciatura en Ciencias de la Computación,136
,6,Grado               ,"Computación, Sistemas e Informática",64,236,107,556,Estatal                                           ,279,Universidad                                       ,449,5,Facultad de Informática,1,277,2013,Universidad Nacional del Comahue,43,Licenciatura en Ciencias de la Computación,213
,19,Grado               ,"Computación, Sistemas e Informática",58,24,67,290,Estatal                                           ,33,Universidad                                       ,223,13,Departamento de Ciencias e Ingeniería de la Computación,6,257,2013,Universidad Nacional del Sur,9,Licenciatura en Ciencias de la Computación,199
,33,Grado               ,"Computación, Sistemas e Informática",297,260,339,"2,254",Estatal                                           ,302,Universidad                                       ,"1,915",30,Facultad de Ciencias Exactas y Naturales,3,"1,952",2013,Universidad de Buenos Aires,42,Licenciatura en Ciencias de la Computación,"1,655"
,1,Grado               ,"Computación, Sistemas e Informática",,,,1,Privada                                           ,,Universidad                                       ,1,1,Departamento de Sistemas,,1,2014,Universidad CAECE,,Licenciatura en Ciencias de la Computación,1
,17,Grado               ,"Computación, Sistemas e Informática",92,168,125,722,Estatal                                           ,201,Universidad                                       ,597,14,"Facultad de Matemáticas, Astronomía y Física",3,521,2014,Universidad Nacional de Córdoba,33,Licenciatura en Ciencias de la Computación,429
,12,Grado               ,"Computación, Sistemas e Informática",35,112,48,373,Estatal                                           ,125,Universidad                                       ,325,11,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",1,248,2014,Universidad Nacional de Rosario,13,Licenciatura en Ciencias de la Computación,213
,8,Grado               ,"Computación, Sistemas e Informática",34,53,41,245,Estatal                                           ,60,Universidad                                       ,204,6,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",2,185,2014,Universidad Nacional de Río Cuarto,7,Licenciatura en Ciencias de la Computación,151
,6,Grado               ,"Computación, Sistemas e Informática",51,78,62,444,Estatal                                           ,89,Universidad                                       ,382,5,"Facultad de Ciencias Exactas, Físicas y Naturales",1,355,2014,Universidad Nacional de San Juan,11,Licenciatura en Ciencias de la Computación,304
,7,Grado               ,"Computación, Sistemas e Informática",38,23,39,162,Estatal                                           ,24,Universidad                                       ,123,6,Facultad de Cs. Físico-Matemáticas y Naturales,1,138,2014,Universidad Nacional de San Luis,1,Licenciatura en Ciencias de la Computación,100
