,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,128,1,2010,"Computación, Sistemas e Informática",90,Licenciatura en Ciencias de la Computación,12,"Facultad de Matemáticas, Astronomía y Física",161,625,13,Universidad Nacional de Córdoba,464,497,Grado               ,123,374,38,Estatal                                           ,Universidad                                       
,38,,2010,"Computación, Sistemas e Informática",33,Licenciatura en Ciencias de la Computación,20,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",60,298,20,Universidad Nacional de Rosario,238,260,Grado               ,55,205,5,Estatal                                           ,Universidad                                       
,43,2,2010,"Computación, Sistemas e Informática",32,Licenciatura en Ciencias de la Computación,9,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",62,259,11,Universidad Nacional de Río Cuarto,197,216,Grado               ,51,165,11,Estatal                                           ,Universidad                                       
,67,,2010,"Computación, Sistemas e Informática",52,Licenciatura en Ciencias de la Computación,,"Facultad de Ciencias Exactas, Físicas y Naturales",107,340,,Universidad Nacional de San Juan,233,273,Grado               ,92,181,15,Estatal                                           ,Universidad                                       
,92,3,2010,"Computación, Sistemas e Informática",75,Licenciatura en Ciencias de la Computación,2,Facultad de Cs. Físico-Matemáticas y Naturales,99,353,5,Universidad Nacional de San Luis,254,261,Grado               ,82,179,17,Estatal                                           ,Universidad                                       
,71,3,2010,"Computación, Sistemas e Informática",58,Licenciatura en Ciencias de la Computación,3,Facultad de Economía y Administración,77,298,6,Universidad Nacional del Comahue,221,227,Grado               ,64,163,13,Estatal                                           ,Universidad                                       
,101,2,2010,"Computación, Sistemas e Informática",90,Licenciatura en Ciencias de la Computación,11,Departamento de Ciencias de la Computación,65,411,13,Universidad Nacional del Sur,346,310,Grado               ,54,256,11,Estatal                                           ,Universidad                                       
,,,2010,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,,Facultad de Ciencias Exactas y Naturales,431,"1,803",37,Universidad de Buenos Aires,"1,372",,Grado               ,,,,Estatal                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,2,Departamento de Sistemas,,21,2,Universidad CAECE,21,21,Grado               ,,21,,Privada                                           ,Universidad                                       
,123,1,2011,"Computación, Sistemas e Informática",83,Licenciatura en Ciencias de la Computación,10,"Facultad de Matemáticas, Astronomía y Física",200,663,11,Universidad Nacional de Córdoba,463,540,Grado               ,160,380,40,Estatal                                           ,Universidad                                       
,35,1,2011,"Computación, Sistemas e Informática",26,Licenciatura en Ciencias de la Computación,20,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",64,292,21,Universidad Nacional de Rosario,228,257,Grado               ,55,202,9,Estatal                                           ,Universidad                                       
,36,2,2011,"Computación, Sistemas e Informática",33,Licenciatura en Ciencias de la Computación,9,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",59,248,11,Universidad Nacional de Río Cuarto,189,212,Grado               ,56,156,3,Estatal                                           ,Universidad                                       
,76,1,2011,"Computación, Sistemas e Informática",51,Licenciatura en Ciencias de la Computación,,"Facultad de Ciencias Exactas, Físicas y Naturales",133,378,1,Universidad Nacional de San Juan,245,302,Grado               ,108,194,25,Estatal                                           ,Universidad                                       
,72,3,2011,"Computación, Sistemas e Informática",66,Licenciatura en Ciencias de la Computación,3,Facultad de Cs. Físico-Matemáticas y Naturales,60,297,6,Universidad Nacional de San Luis,237,225,Grado               ,54,171,6,Estatal                                           ,Universidad                                       
,81,3,2011,"Computación, Sistemas e Informática",58,Licenciatura en Ciencias de la Computación,,Facultad de Informática,115,361,3,Universidad Nacional del Comahue,246,280,Grado               ,92,188,23,Estatal                                           ,Universidad                                       
,85,12,2011,"Computación, Sistemas e Informática",72,Licenciatura en Ciencias de la Computación,23,Departamento de Ciencias de la Computación,90,401,35,Universidad Nacional del Sur,311,316,Grado               ,77,239,13,Estatal                                           ,Universidad                                       
,371,1,2011,"Computación, Sistemas e Informática",316,Licenciatura en Ciencias de la Computación,25,Facultad de Ciencias Exactas y Naturales,400,"2,350",26,Universidad de Buenos Aires,"1,950","1,979",Grado               ,345,"1,634",55,Estatal                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Licenciatura en Ciencias de la Computación,2,Departamento de Sistemas,,15,2,Universidad CAECE,15,15,Grado               ,,15,,Privada                                           ,Universidad                                       
,132,,2012,"Computación, Sistemas e Informática",94,Licenciatura en Ciencias de la Computación,13,"Facultad de Matemáticas, Astronomía y Física",195,706,13,Universidad Nacional de Córdoba,511,574,Grado               ,157,417,38,Estatal                                           ,Universidad                                       
,45,3,2012,"Computación, Sistemas e Informática",35,Licenciatura en Ciencias de la Computación,14,"Facultad de Ciencias Exactas, Ingeniería y Agrimensura",86,302,17,Universidad Nacional de Rosario,216,257,Grado               ,76,181,10,Estatal                                           ,Universidad                                       
,39,,2012,"Computación, Sistemas e Informática",30,Licenciatura en Ciencias de la Computación,2,"Facultad de Ciencias Exactas, Físico-Químicas y Naturales",67,248,2,Universidad Nacional de Río Cuarto,181,209,Grado               ,58,151,9,Estatal                                           ,Universidad                                       
,82,,2012,"Computación, Sistemas e Informática",71,Licenciatura en Ciencias de la Computación,,"Facultad de Ciencias Exactas, Físicas y Naturales",99,486,,Universidad Nacional de San Juan,387,404,Grado               ,88,316,11,Estatal                                           ,Universidad                                       
,66,6,2012,"Computación, Sistemas e Informática",57,Licenciatura en Ciencias de la Computación,5,Facultad de Cs. Físico-Matemáticas y Naturales,25,225,11,Universidad Nacional de San Luis,200,159,Grado               ,16,143,9,Estatal                                           ,Universidad                                       
,84,1,2012,"Computación, Sistemas e Informática",61,Licenciatura en Ciencias de la Computación,11,Facultad de Informática,115,383,12,Universidad Nacional del Comahue,268,299,Grado               ,92,207,23,Estatal                                           ,Universidad                                       
,81,12,2012,"Computación, Sistemas e Informática",66,Licenciatura en Ciencias de la Computación,11,Departamento de Ciencias de la Computación,65,353,23,Universidad Nacional del Sur,288,272,Grado               ,50,222,15,Estatal                                           ,Universidad                                       
